group,measured_g,percent_error
G01,11.16,11.11
G02,9.46,3.27
G03,10.85,10.94
G04,9.56,2.24
G05,35.84,266.46
G06,10.56,7.97
G07,9.60,1.84
G08,10.63,8.69
G09,10.75,9.91
G010,11.82,18.20
G012,11.59,18.50
G013,10.37,6.03
G014,11.16,14.10
G015,10.08,3.03
G016,12.07,23.41
G017,9.10,6.95
G018,10.95,11.96
G019,11.83,13.47
G020,7.00,28.42
G021,10.02,2.45
G022,9.38,3.00
G023,10.38,6.10
G024,10.12,3.47
G025,7.35,24.00
G026,7.35,24.80
G027,8.77,10.33
G028,6.47,33.84
G029,10.34,5.73
G030,9.94,1.63
G31,8.96,8.31
G32,10.70,9.00
G33,10.33,5.60
G34,12.07,23.41
G35,10.75,9.98
G36,10.49,7.26
G37,11.55,18.09
G38,10.01,2.35
G39,10.53,7.66
G40,8.82,9.81
G41,8.96,8.48
G42,9.46,3.27
G43,10.56,7.97
G44,8.09,17.00
G45,9.45,3.30
G46,7.94,18.81
G47,11.66,19.20
G48,9.61,0.17
G49,10.79,10.32
